及物动词
outwit 以计谋取胜
hearten 鼓励
deprecate 强烈反对
fathom 理解
inculpate 控告
truncate 把...截断
arrest 逮捕
misconstrue 误解
harness 控制
browbeat 威逼
emaciate 使消瘦
suspend 暂停
sidestep 回避
abominate 憎恨
inter 埋葬
mimic 模仿
incriminate 连累
advocate 拥护
evoke 唤起
adulate 奉承
defy 违抗
maculate 使有斑点
supplant 取代
exasperate 使烦恼
fabricate 捏造
denigrate 贬低
dread 非常害怕
despicable 令人厌恶的
concatenate 把...联系起来
entrap 诱使
mutate 突变
vanquish 完全征服
inaugurate 为...举行就职典礼
tarnish 玷污
tackle 应付
abnegate 克制
vouchsafe 赐予
stratify 分层
malign 诽谤
rouse 唤醒
kidnap 劫持
repel 驱逐
excoriate 严厉批评
lambaste 猛烈抨击
excruciate 折磨
surmount 客服
captivate 迷住
emulate 效仿
