形容词
stentorian 声音洪亮的
grandiloquent 浮夸的
scant 一丁点的
august 威严的
gloomy 昏暗的
arcane 神秘的
untenable 站不住脚的
fretful 烦躁的
florid 红润的
sterile不能生育的
distraught 心烦意乱的
sartorial 服装的
venial 轻微的
callous 冷酷无情的
runic 古代北欧文的, 神秘的
beneficent 有帮助的
moth-eaten 被虫蛀了的
calculated 精心策划的
faint 微弱的
retrograde 倒退的
tacit 心照不宣的
liberal 宽宏大度的
adventitious 偶然发生的
ironclad 无懈可击的
tenuous 脆弱的
profane 亵渎的
expansive 广阔的
playful 爱细细的
cogent 有说服力的
minsanhropic 厌恶人世的
forthright 直率的
amicable 心平气和地
genetic 遗传的
malleable 有延展性的
Spartan 简朴的
apposite 很适合的
byzantine 错综复杂的
inert 无活动能力的
exotic 具有异国情调的
tangy 气味浓重的
obsolete 淘汰的
wry 啼笑皆非的
authentic 真品的
steep 陡峭的
flamboyant 炫耀的
proficient 精通的
pellucid 清澈的
whimsical 异想天开的
absolute 完全的
apt 易于...的
lugubrious 悲哀的
aboveboard 合法而坦诚的
arable 适于耕种的
offbeat 不寻常的
grandiose 华而不实的
superfluous 过剩的
canny 精明谨慎的
obtuse 迟钝的
favorable 肯定的
nefarious 恶毒的
serrate 有锯齿的
lamentable 令人惋惜的
puchish 顽皮的
fervid 充满激情的
ductile 可拓展的
malodorous 恶臭的
refractory 难以驾驭的
solvent 有偿付能力的
illustrious 著名的
testy 急躁的
amorphous 无固定形状的
luminous 夜光的
unexceptionalbe 无可挑剔的
lissome 苗条优雅的
debonair 风流倜傥的
prodigious 巨大的
disaffected 不满的
coarse 质地粗糙的
outgoing 外向的
